id,name,framework_contract,description
4800,Brown-Martinez,False,Provides Office sofas and more for office needs.
4801,Wall LLC,True,Provides Security cameras and more for office needs.
4802,"Cook, Frederick and Stephens",True,"Provides Artwork, Decorative lighting, Aquariums and more for office needs."
4803,Williamson and Sons,False,"Provides Indoor plants, Artwork and more for office needs."
4804,Palmer Group,True,Provides Office sofas and more for office needs.
4805,"Flowers, Williams and Davis",True,"Provides Aquariums, Decorative lighting and more for office needs."
4806,"Powell, Proctor and Pierce",False,Provides Coffee machines and more for office needs.
4807,"Dennis, Rush and Combs",False,Provides Designer notebooks and more for office needs.
4808,"Williams, Phelps and Mcmahon",False,Provides Designer notebooks and more for office needs.
4809,"Wright, Mcmahon and Hooper",True,"Provides Designer notebooks, Custom planners and more for office needs."
4810,"Duncan, Dean and Brady",True,"Provides Smart whiteboards, High-performance laptops, Projectors and more for office needs."
4811,Howell PLC,False,Provides Ergonomic chairs and more for office needs.
4812,Martin-Brewer,False,"Provides Office sofas, Standing desks, Conference tables and more for office needs."
4813,Castro Group,True,"Provides Multi-function printers, Smart whiteboards, High-performance laptops and more for office needs."
4814,Scott PLC,True,"Provides Water coolers, Microwave ovens and more for office needs."
4815,Skinner-Ochoa,True,Provides Office sofas and more for office needs.
4816,Hansen Ltd,False,"Standing desks, Office sofas and more for office needs."
4817,Scott and Sons,False,Coffee machines and more for office needs.
4818,Quinn Inc,True,"Eco-friendly pens, Custom planners, Desk organizers and more for office needs."
4819,Miller-King,False,Smart whiteboards and more for office needs.
4820,"Jennings, Li and Parker",False,"Specializes in Smartphones, Laptops."
4821,Pham-Goodwin,True,"Specializes in Office Cleaning, Window Cleaning, Waste Management."
4822,Li-Gardner,False,"Specializes in Window Cleaning, Waste Management, Office Cleaning."
4823,Garza-Valdez,True,"Specializes in Beverages, Office Snacks, Event Catering."
4824,Hall LLC,False,"Specializes in Office Snacks, Beverages, Event Catering."
4825,"Berger, Payne and Griffith",False,"Specializes in IT Support, Software Development, Network Security."
4826,"Wright, May and White",True,"Specializes in IT Support, Software Development, Network Security."
4827,"Blevins, Clark and Ritter",False,"Specializes in Smartphones, Laptops."
4828,Miller and Sons,False,"Specializes in Window Cleaning, Waste Management, Office Cleaning."
4829,Taylor-Cole,True,"Specializes in Notebooks, Chairs, Printers."
4830,"Huber, Cunningham and Levy",True,"Specializes in Beverages, Event Catering, Office Snacks."
4831,Davis LLC,False,"Specializes in Cameras, Laptops."
4900,"Howard, Daniel and Hamilton",True,Offers Glassware sets for promotional and giveaway purposes.
4901,"Tyler, Diaz and Turner",False,"Offers Fitness trackers, Bluetooth speakers for promotional and giveaway purposes."
4902,Wyatt PLC,True,"Offers Fidget spinners, Mini drones, Custom playing cards for promotional and giveaway purposes."
4903,"Rose, Oneal and Ross",True,"Offers Silicone wristbands, Custom T-shirts for promotional and giveaway purposes."
4904,"Daniels, Barnett and Obrien",False,"Offers Glassware sets, Travel tumblers, Insulated water bottles for promotional and giveaway purposes."
4905,Cole-Miller,True,"Offers Branded notebooks, Stylus pens, Desk calendars for promotional and giveaway purposes."
4906,Carroll-Nichols,True,"Offers Bamboo toothbrushes, Biodegradable pens, Organic cotton bags for promotional and giveaway purposes."
4907,"Arnold, James and Terry",False,Offers Insulated water bottles for promotional and giveaway purposes.
4908,Barnes-Chavez,False,"Offers Custom T-shirts, Silicone wristbands, Sunglasses for promotional and giveaway purposes."
4909,"Bennett, Hansen and Miller",False,"Offers Glassware sets, Insulated water bottles for promotional and giveaway purposes."
4910,Price Group,False,"Offers Fitness trackers, Bluetooth speakers for promotional and giveaway purposes."
4911,Kane-Goodwin,True,Offers Embroidered hats for promotional and giveaway purposes.
4912,Young and Sons,True,"Offers Custom mugs, Insulated water bottles for promotional and giveaway purposes."
4913,Parker LLC,True,"Offers Fitness trackers, Wireless chargers, USB drives for promotional and giveaway purposes."
4914,"Mitchell, Johnson and Mcclure",False,Offers Desk calendars for promotional and giveaway purposes.
4915,Sanders PLC,False,"Offers Custom mugs, Glassware sets for promotional and giveaway purposes."
4916,Summers-Fletcher,True,Offers Bamboo toothbrushes for promotional and giveaway purposes.
4917,Gentry PLC,True,"Offers Reusable straws, Biodegradable pens for promotional and giveaway purposes."
4918,Gordon-Branch,True,"Offers Custom playing cards, Mini drones, Fidget spinners for promotional and giveaway purposes."
4919,Johnson Group,True,"Offers Travel tumblers, Insulated water bottles for promotional and giveaway purposes."
